id,title,description,link,image_link,availability,price,sale_price,brand,gtin,mpn,identifier_exists,condition,google_product_category
85,"Eqqual Berry Bakuchiol Plumping Serum","**English:** Hydrates and plumps the skin for a healthy look. **العربية:** يساعد على ترطيب البشرة ومنحها مظهر ممتلئ وصحي.",https://poshystore.com/eqqual-berry-bakuchiol-plumping-serum,https://poshystore.com/images/EQQUAL%20BERRY%20BAKUCHIOL%20Plumping%20Serum/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
86,"Eqqual Berry Glow Filter Vitamin Illuminating Serum","**English:** Boosts glow and improves skin radiance. **العربية:** يمنح إشراقة فورية ويحسن توحيد لون البشرة.",https://poshystore.com/eqqual-berry-glow-filter-vitamin-illuminating-serum,https://poshystore.com/images/EQQUAL%20BERRY%20GLOW%20FILTER%20VITAMIN%20illuminating%20Serum%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
87,"Eqqual Berry Lush Blush Nad+ Peptide Boosting Serum","**English:** Enhances elasticity and smoothness. **العربية:** يعزز مرونة البشرة ويقلل علامات التعب.",https://poshystore.com/eqqual-berry-lush-blush-nad-plus-peptide-boosting-serum,https://poshystore.com/images/19%2025-30%203%20EQQUAL%20BERRY%20LUSH%20BLUSH%20NAD%2B%20PEPTIDE%20Boosting%20Serum%20B/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
88,"Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+ PA++++","**English:** Lightweight sunscreen with strong protection. **العربية:** واقي شمس خفيف يحمي البشرة بدون ملمس دهني.",https://poshystore.com/beauty-of-joseon-relief-sun-rice-plus-probiotics-spf50-plus-pa-plus-plus-plus-plus,https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%20Rice%20%2B%20Probiotics%20SPF50%2B%20PA%2B%2B%2B%2B%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
89,"Beauty of Joseon Relief Sun Aqua-fresh Rice + B5 SPF50+","**English:** Fresh watery sunscreen with hydration. **العربية:** تركيبة مائية مريحة تحمي وترطب بنفس الوقت.",https://poshystore.com/beauty-of-joseon-relief-sun-aqua-fresh-rice-plus-b5-spf50-plus,https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%20Aqua-fresh%20Rice%20%2B%20B5%20SPF50%2B%20PA%2B%2B%20f/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
90,"Axis-y Dark Spot Correcting Glow Serum","**English:** Helps reduce dark spots and dullness. **العربية:** يخفف التصبغات ويمنح البشرة توهج صحي.",https://poshystore.com/axis-y-dark-spot-correcting-glow-serum,https://poshystore.com/images/Axis-y%20Dark%20Spot%20Correcting%20Glow%20Serum%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
91,"Axis-y Vegan Collagen Eye serum","**English:** Moisturizes and smooths the eye area. **العربية:** يرطب محيط العين ويقلل مظهر الخطوط.",https://poshystore.com/axis-y-vegan-collagen-eye-serum,https://poshystore.com/images/Axis-y%20Vegan%20Collagen%20Eye%20serum%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
92,"Axis-y package","**English:** Complete daily skincare set. **العربية:** مجموعة متكاملة للعناية اليومية بالبشرة.",https://poshystore.com/axis-y-package,https://poshystore.com/images/products/product_gallery/product_92/img_01.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
93,"Anua Azelaic Acid 10+ Hyaluron","**English:** Soothes acne and improves texture. **العربية:** يساعد على تهدئة الحبوب وتحسين ملمس البشرة.",https://poshystore.com/anua-azelaic-acid-10-plus-hyaluron,https://poshystore.com/images/Anua%20AZELAIC%20ACID%2010%2B%20HYALURON%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
94,"Anua Heartleaf 70 Daily Lotion","**English:** Light daily moisturizer for calm skin. **العربية:** مرطب يومي خفيف يهدئ ويرطب البشرة.",https://poshystore.com/anua-heartleaf-70-daily-lotion,https://poshystore.com/images/18%2024-28%2010%20ANUA%20HEARTLEAF%2070%20DAILY%20LOTION%20/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
95,"Anua Heartleaf Pore Control Cleansing Oil Mild","**English:** Deeply cleanses pores and removes makeup. **العربية:** ينظف المسام بعمق ويزيل المكياج والشوائب.",https://poshystore.com/anua-heartleaf-pore-control-cleansing-oil-mild,https://poshystore.com/images/products/product_gallery/product_95_main.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
96,"Anua Heartleaf Quercetinol Pore Deep Cleansing Foam","**English:** Gentle foaming cleanser for daily use. **العربية:** غسول لطيف ينقي البشرة بدون جفاف.",https://poshystore.com/anua-heartleaf-quercetinol-pore-deep-cleansing-foam,https://poshystore.com/images/18%2024-28%2012%20ANUA%20HEARTLEAF%20QUERCETINOL%20%E2%84%A2%20PORE%20DEEP%20CLEANSING%20FOAM%20/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
97,"Madagascar Centella Double Cleansing Duo","**English:** Double cleansing for fresh skin. **العربية:** تنظيف مزدوج يترك البشرة نظيفة وناعمة.",https://poshystore.com/madagascar-centella-double-cleansing-duo,https://poshystore.com/images/products/madagascar_centella_double_cleansing_duo.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
98,"Dr.althea To Be Youthful Eye Serum","**English:** Revitalizes and hydrates eye area. **العربية:** يعزز شباب منطقة العين ويرطبها.",https://poshystore.com/dralthea-to-be-youthful-eye-serum,https://poshystore.com/images/26%2039-45%2014%20DR.ALTHEA%20TO%20BE%20YOUTHFUL%20EYE%20SERUM%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
99,"Dr. Althea 147 Barrier Cream","**English:** Strengthens skin barrier and locks moisture. **العربية:** يقوي حاجز البشرة ويمنع الجفاف.",https://poshystore.com/dr-althea-147-barrier-cream,https://poshystore.com/images/DR.%20ALTHEA%20147%20BARRIER%20CREAM%20FOR%20NORMAL%20TO%20DRY%20SKIN%20TYPES%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
100,"Dr. Althea 345 Relief Cream","**English:** Soothing cream for sensitive skin. **العربية:** كريم مهدئ يقلل الاحمرار ويعزز الراحة.",https://poshystore.com/dr-althea-345-relief-cream,https://poshystore.com/images/products/product_gallery/product_100/img_01.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
101,"DR. ALTHEA 345 relief CREAM duo pack","**English:** Dual pack for intensive care. **العربية:** باك مزدوج للعناية والترطيب المكثف.",https://poshystore.com/dr-althea-345-relief-cream-duo-pack,https://poshystore.com/images/DR.%20ALTHEA%20345%20relief%20CREAM%20FOR%20ALL%20SKIN%20TYPES%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
102,"Seoul 1988 Eye Cream Retinal Liposome","**English:** Smooths fine lines around eyes. **العربية:** كريم عين يعزز النعومة ويقلل الخطوط.",https://poshystore.com/seoul-1988-eye-cream-retinal-liposome,https://poshystore.com/images/products/product_gallery/product_102/img_01.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
103,"Somebymi Galactomyces Brightening Trial Kit","**English:** Brightening skincare trial set. **العربية:** مجموعة تفتيح تساعد على إشراقة البشرة.",https://poshystore.com/somebymi-galactomyces-brightening-trial-kit,https://poshystore.com/images/14%2019-24%2019%20SOMEBYMI%20GALACTOMYCES%20BRIGHTENING%20TRIAL%20KIT%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
104,"Somebymi Retinol Intense Eye Cream","**English:** Targets wrinkles and dryness. **العربية:** يستهدف التجاعيد ويرطب محيط العين.",https://poshystore.com/somebymi-retinol-intense-eye-cream,https://poshystore.com/images/SOMEBYMI%20RETINOL%20INTENSE%20ADVANCED%20TRIPLE%20ACTION%20EYE%20CREAM%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
105,"Medicube Red Acne Body Peeling Shot","**English:** Body exfoliator for clearer skin. **العربية:** مقشر للجسم يساعد على تنقية البشرة.",https://poshystore.com/medicube-red-acne-body-peeling-shot,https://poshystore.com/images/medicube%20RED%20ACNE%20BODY%20PEELING%20SHOT%20AHA%2BBHA%2BPHA%2BLHA%2032%25/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
106,"Medicube Collagen Night Wrapping Mask","**English:** Overnight mask for firm and soft skin. **العربية:** ماسك ليلي يمنح ترطيب وشد للبشرة.",https://poshystore.com/medicube-collagen-night-wrapping-mask,https://poshystore.com/images/19%2025-30%2022%20medicube%20COLLAGEN%20NIGHT%20WRAPPING%20MASK%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
107,"The Ordinary Lip & Lash Set","**English:** Nourishing care for lips and lashes. **العربية:** عناية للرموش والشفاه بتركيبة مغذية.",https://poshystore.com/the-ordinary-lip-and-lash-set,https://poshystore.com/images/The%20Ordinary.%20The%20Lip%20%26%20Lash%20Set/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
108,"The Ordinary Mini Icons Set","**English:** Mini skincare essentials set. **العربية:** مجموعة مصغرة للعناية اليومية بالبشرة.",https://poshystore.com/the-ordinary-mini-icons-set,https://poshystore.com/images/products/product_gallery/product_108/img_01.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
109,"The Ordinary Niacinamide 10% + Zinc 1%","**English:** Controls oil and refines pores. **العربية:** ينظم إفراز الدهون ويقلل مظهر المسام.",https://poshystore.com/the-ordinary-niacinamide-10-percent-plus-zinc-1-percent,https://poshystore.com/images/21%2030-35%2025%20The%20Ordinary.%20Niacinamide%2010%25%20%2B%20Zinc%201%25%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
110,"The Ordinary Caffeine Solution 5%","**English:** Reduces puffiness and dark circles. **العربية:** يقلل الانتفاخ والهالات حول العين.",https://poshystore.com/the-ordinary-caffeine-solution-5-percent,https://poshystore.com/images/SerumCaffeine%20Solution%205%25%20%2B%20EGCG%20Eye%20Serum%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
111,"The Ordinary Vitamin C Suspension 23%","**English:** Brightens and evens skin tone. **العربية:** يفتح البشرة ويعزز النضارة.",https://poshystore.com/the-ordinary-vitamin-c-suspension-23-percent,https://poshystore.com/images/The%20Ordinary.%20Vitamin%20C%20Suspension%2023%25%20%2B%20HA%20Spheres%202%25/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
112,"The Ordinary Hyaluronic Acid 2% + B5","**English:** Deep hydration and smooth finish. **العربية:** يرطب بعمق ويمنح نعومة للبشرة.",https://poshystore.com/the-ordinary-hyaluronic-acid-2-percent-plus-b5,https://poshystore.com/images/12%2015-18%2028%20The%20Ordinary.%20Hyaluronic%20Acid%202%25%20%2B%20B5%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
114,"The Ordinary VITAMIN C Ascorbyl Glucoside 12%","**English:** Antioxidant glow booster. **العربية:** مضاد أكسدة يمنح إشراقة صحية.",https://poshystore.com/the-ordinary-vitamin-c-ascorbyl-glucoside-12-percent,https://poshystore.com/images/The%20Ordinary.%20VITAMIN%20C%20Ascorbyl%20Glucoside%20Solution%2012%25%20/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
115,"The Ordinary Alpha Arbutin 2% + HA","**English:** Improves uneven skin tone. **العربية:** يساعد على توحيد لون البشرة.",https://poshystore.com/the-ordinary-alpha-arbutin-2-percent-plus-ha,https://poshystore.com/images/products/product_gallery/product_115/img_01.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
116,"The Ordinary Retinol 0.5% in Squalane","**English:** Refines skin texture gently. **العربية:** يحسن ملمس البشرة ويجددها.",https://poshystore.com/the-ordinary-retinol-05-percent-in-squalane,https://poshystore.com/images/The%20Ordinary.%20Retinol%200.5%25%20in%20Squalane%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
118,"The Ordinary Retinol 0.2%","**English:** Mild retinol for renewal. **العربية:** ريتينول لطيف لتجديد البشرة.",https://poshystore.com/the-ordinary-retinol-02-percent,https://poshystore.com/images/The%20Ordinary.%20Retinol%200.2%25/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
119,"The Ordinary AHA 30% + BHA 2% Peeling Solution","**English:** Intensive peeling for smooth skin. **العربية:** تقشير عميق يمنح نعومة وإشراقة.",https://poshystore.com/the-ordinary-aha-30-percent-plus-bha-2-percent-peeling-solution,https://poshystore.com/images/The%20Ordinary.%20AHA%2030%25%20%2B%20BHA%202%25%20Peeling%20Solution/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
120,"The Ordinary Glycolic Acid 7% Toner","**English:** Exfoliating toner for brighter skin. **العربية:** تونر مقشر يحسن ملمس البشرة.",https://poshystore.com/the-ordinary-glycolic-acid-7-percent-toner,https://poshystore.com/images/The%20Ordinary.%20Salicylic%20Acid%202%25/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
121,"Paula's Choice 2% Bha Liquid Exfoliant","**English:** Liquid exfoliant for clear pores. **العربية:** مقشر سائل ينظف المسام بفعالية.",https://poshystore.com/paulas-choice-2-percent-bha-liquid-exfoliant,https://poshystore.com/images/PAULA%27S%20CHOICE%20SKIN%20PEREECTING%202%25%20BHA%20Liquid%20Exfoliant%20SALICYLIC%20ACID%20/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
122,"PanOxyl Acne Creamy Wash 4% Benzoyl Peroxide","**English:** Acne cleanser for clearer skin. **العربية:** غسول علاجي يساعد على تقليل الحبوب.",https://poshystore.com/panoxyl-acne-creamy-wash-4-percent-benzoyl-peroxide,https://poshystore.com/images/33%2042-49%2038%20PanOxyl%E2%84%A2%20Acne%20Creamy%20Wash%20for%20Face%20%26%20Body%204%25%20BENZOYL%20PEROXIDE%20/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
123,"Crest 3D WHITESTRIPS Professional White Kit","**English:** Teeth whitening strips for brighter smile. **العربية:** شرائط تبييض تمنح ابتسامة أكثر إشراقًا.",https://poshystore.com/crest-3d-whitestrips-professional-white-kit,https://poshystore.com/images/products/product_gallery/product_123/img_01.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
124,"COSRX Advanced Snail 96 Mucin Power Essence","**English:** Hydrating essence for smooth skin. **العربية:** إيسنس مرطب يعزز نعومة البشرة.",https://poshystore.com/cosrx-advanced-snail-96-mucin-power-essence,https://poshystore.com/images/35%2055-60%2040%20COSRX%20Advanced%20Snail%2096%20Mucin%20Power%20Essence%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
125,"Celimax Retinal Shot Tightening Booster","**English:** Firming booster for elasticity. **العربية:** يعزز شد البشرة ويحسن المرونة.",https://poshystore.com/celimax-retinal-shot-tightening-booster,https://poshystore.com/images/16%2021-25%2041%20Celimax%20RETINAL%20SHOT%20TIGHTENING%20BOOSTER%20/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
126,"Celimax pore dark spot brightening sunscreen SPF50+","**English:** Protective brightening sunscreen. **العربية:** واقي شمس يساعد على الحماية والتفتيح.",https://poshystore.com/celimax-pore-dark-spot-brightening-sunscreen-spf50-plus,https://poshystore.com/images/Celimax%20pore%20dark%20spot%20brightening%20care%20sunscreen%20spf50%2B%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
